task_id,start_time,end_time,duration,type,scheduler,turnaround_time
0,0,217,218,MEMORY_HEAVY,DVFS-Aware,217
-1264106616,218,597,380,IO_BOUND,DVFS-Aware,379
-1264106616,598,717,120,CPU_BOUND,DVFS-Aware,119
-1264106616,718,793,76,MEMORY_HEAVY,DVFS-Aware,75
-1264106616,794,1114,321,MEMORY_HEAVY,DVFS-Aware,320
-1264106616,1115,1173,59,MEMORY_HEAVY,DVFS-Aware,58
-1264106616,1174,1598,425,CPU_BOUND,DVFS-Aware,424
-1264106616,1599,1730,132,CPU_BOUND,DVFS-Aware,131
-1264106616,1731,1917,187,IO_BOUND,DVFS-Aware,186
-1264106616,1918,2161,244,CPU_BOUND,DVFS-Aware,243
-1264106616,2162,2486,325,CPU_BOUND,DVFS-Aware,324
-1264106616,2487,2667,181,CPU_BOUND,DVFS-Aware,180
-1264106616,2668,2922,255,MEMORY_HEAVY,DVFS-Aware,254
-1264106616,2923,3062,140,IO_BOUND,DVFS-Aware,139
-1264106616,3063,3379,317,CPU_BOUND,DVFS-Aware,316
-1264106616,3380,3703,324,CPU_BOUND,DVFS-Aware,323
-1264106616,3704,3782,79,MEMORY_HEAVY,DVFS-Aware,78
-1264106616,3783,4267,485,MEMORY_HEAVY,DVFS-Aware,484
-1264106616,4268,4454,187,CPU_BOUND,DVFS-Aware,186
-1264106616,4455,4812,358,IO_BOUND,DVFS-Aware,357
-1264106616,4813,4917,105,IO_BOUND,DVFS-Aware,104
-1264106616,4918,4982,65,MEMORY_HEAVY,DVFS-Aware,64
